"
Date","Open
","Close
","High
","Low
","Volume
","positive_score
","negative_score
","neutral_score
"
2024-10-23,596.400024,590.400024,598.599976,589.000000,632871,0.401449,0.063767,0.024785
2024-10-24,592.200012,591.200012,595.200012,589.200012,877954,0.281014,0.044637,0.017349
2024-10-25,589.400024,594.799988,596.799988,589.400024,495978,0.738760,0.245674,0.015566
2024-10-28,595.599976,603.200012,603.799988,594.000000,721229,0.867526,0.094874,0.037599
2024-10-29,603.000000,598.400024,603.400024,596.200012,783174,0.839217,0.149744,0.011039
2024-10-30,597.599976,598.400024,600.599976,593.000000,1082360,0.587452,0.104821,0.007727
2024-10-31,592.599976,593.000000,595.599976,589.200012,840683,0.411216,0.073375,0.005409
2024-11-01,593.799988,596.799988,597.400024,592.599976,126549,0.287851,0.051362,0.003786
2024-11-04,596.000000,598.200012,600.799988,595.200012,713805,0.201496,0.035954,0.002650
2024-11-05,598.000000,611.799988,612.599976,595.000000,414044,0.141047,0.025168,0.001855
2024-11-06,626.400024,620.400024,639.400024,620.200012,1184457,0.944396,0.032320,0.023284
2024-11-07,620.400024,616.200012,623.000000,610.599976,776564,0.873285,0.079612,0.047103
2024-11-08,617.400024,618.599976,621.799988,610.599976,537991,0.614744,0.376152,0.009104
2024-11-11,621.599976,625.799988,629.799988,621.599976,268292,0.430321,0.263307,0.006373
2024-11-12,620.799988,611.599976,624.799988,610.200012,799066,0.301224,0.184315,0.004461
2024-11-13,610.200012,616.799988,616.799988,608.200012,551357,0.210857,0.129020,0.003123
2024-11-14,617.000000,619.599976,624.400024,616.000000,614507,0.624766,0.367984,0.007249
2024-11-15,615.200012,615.000000,621.200012,614.400024,852702,0.437336,0.257589,0.005075
2024-11-18,614.599976,609.000000,616.599976,606.400024,305915,0.306135,0.180312,0.003552
2024-11-19,609.599976,606.799988,611.000000,596.799988,753305,0.214295,0.126219,0.002487
2024-11-20,611.400024,611.000000,616.599976,610.400024,557541,0.150006,0.088353,0.001741
2024-11-21,611.000000,618.599976,618.599976,607.400024,337359,0.105004,0.061847,0.001218
2024-11-22,619.000000,621.400024,625.599976,616.400024,582139,0.073503,0.043293,0.000853
2024-11-25,622.400024,617.599976,624.599976,614.000000,1004729,0.051452,0.030305,0.000597
2024-11-26,614.000000,612.400024,615.400024,609.799988,596981,0.036017,0.021214,0.000418
2024-11-27,612.200012,606.000000,612.200012,604.799988,920693,0.025212,0.014850,0.000293
2024-11-28,607.400024,611.200012,614.000000,607.400024,211291,0.017648,0.010395,0.000205
2024-11-29,614.000000,619.599976,623.000000,613.400024,994296,0.773149,0.215026,0.011824
2024-12-02,620.000000,632.799988,635.400024,620.000000,609648,0.541205,0.150518,0.008277
2024-12-03,632.799988,637.000000,639.200012,630.799988,722959,0.378843,0.105363,0.005794
2024-12-04,638.400024,644.200012,646.000000,638.200012,410346,0.780215,0.148090,0.071695
2024-12-05,642.799988,642.599976,645.000000,639.000000,439205,0.546151,0.103663,0.050186
2024-12-06,640.200012,647.000000,648.599976,637.799988,749490,0.382306,0.072564,0.035130
2024-12-09,650.000000,646.799988,652.000000,643.200012,439766,0.267614,0.050795,0.024591
2024-12-10,644.000000,638.000000,646.799988,638.000000,349820,0.187330,0.035556,0.017214
2024-12-11,638.000000,645.200012,645.400024,636.400024,258029,0.131131,0.024889,0.012050
2024-12-12,645.000000,641.200012,647.400024,639.799988,510437,0.091792,0.017423,0.008435
2024-12-13,638.200012,634.000000,641.799988,632.799988,394949,0.858218,0.114192,0.027591
2024-12-16,634.400024,634.400024,637.200012,631.200012,765078,0.600752,0.079934,0.019313
2024-12-17,632.400024,634.599976,636.200012,630.200012,351985,0.420527,0.055954,0.013519
2024-12-18,634.000000,631.599976,640.799988,631.200012,306803,0.294369,0.039168,0.009464
2024-12-19,615.400024,598.200012,616.400024,597.400024,1059520,0.206058,0.027417,0.006624
2024-12-20,595.000000,603.599976,603.799988,589.000000,1008223,0.144241,0.019192,0.004637
2024-12-23,602.599976,604.000000,607.599976,601.000000,384261,0.500137,0.493006,0.006858
2024-12-27,604.200012,604.599976,607.799988,602.000000,364500,0.350096,0.345104,0.004800
2024-12-30,602.799988,595.400024,602.799988,594.000000,515652,0.823108,0.164387,0.012506
2025-01-02,595.400024,593.200012,597.599976,584.200012,570993,0.576175,0.115071,0.008754
2025-01-03,601.799988,600.400024,605.000000,597.799988,324246,0.403323,0.080549,0.006128
2025-01-07,602.200012,603.599976,606.200012,596.599976,973222,0.282326,0.056385,0.004289
2025-01-08,604.200012,611.000000,618.599976,603.599976,582609,0.197628,0.039469,0.003003
