,Open,Close,High,Low,positive_score,negative_score,neutral_score
2024-11-01,2546.139892578125,2557.219970703125,2564.75,2546.139892578125,0.917505145072937,0.052738554775714874,0.029756393283605576
2024-11-04,2564.419921875,2571.97998046875,2582.0,2564.419921875,0.9578750729560852,0.033544495701789856,0.008580449968576431
2024-11-05,2571.9599609375,2574.1298828125,2576.699951171875,2555.800048828125,0.0,0.0,0.0
2024-11-06,2590.89990234375,2553.1298828125,2626.570068359375,2552.949951171875,0.9559888243675232,0.035450590774416924,0.00856056623160839
2024-11-07,2559.89990234375,2584.719970703125,2593.97998046875,2558.64990234375,0.0,0.0,0.0
2024-11-08,2583.179931640625,2558.739990234375,2584.14990234375,2546.840087890625,0.9392328262329102,0.041916027665138245,0.018851149827241898
2024-11-11,2574.5400390625,2576.429931640625,2584.280029296875,2571.949951171875,0.9190170764923096,0.05144693702459335,0.029535986483097076
2024-11-12,2556.14990234375,2514.22998046875,2558.60009765625,2508.639892578125,0.9564423859119415,0.03492078185081482,0.008636890444904566
2024-11-13,2512.18994140625,2512.56005859375,2520.590087890625,2493.719970703125,0.9459888935089111,0.03639697656035423,0.01761412201449275
2024-11-14,2519.580078125,2531.389892578125,2535.77001953125,2507.070068359375,0.0,0.0,0.0
2024-11-15,2513.489990234375,2509.989990234375,2530.639892578125,2506.3798828125,0.0,0.0,0.0
2024-11-18,2509.389892578125,2506.909912109375,2518.8798828125,2489.889892578125,0.9684796929359436,0.022524317726492882,0.008995953015983105
2024-11-19,2515.2099609375,2493.47998046875,2518.14990234375,2462.169921875,0.95720374584198,0.03434465825557709,0.00845164805650711
2024-11-20,2508.2900390625,2484.489990234375,2513.739990234375,2483.489990234375,0.9579589664936066,0.033426472917199135,0.008614586666226387
2024-11-21,2484.800048828125,2496.31005859375,2498.489990234375,2464.139892578125,0.9135397672653198,0.055589642375707626,0.030870560556650162
2024-11-22,2506.81005859375,2514.10009765625,2520.030029296875,2486.330078125,0.922831396261851,0.049009072283903755,0.02815956622362137
2024-11-25,2527.97998046875,2512.449951171875,2531.4599609375,2505.550048828125,0.9025047719478607,0.0705752745270729,0.02691994863562286
2024-11-26,2495.60009765625,2495.800048828125,2505.2099609375,2487.639892578125,0.0,0.0,0.0
2024-11-27,2491.530029296875,2497.679931640625,2501.679931640625,2483.929931640625,0.9416601061820984,0.039223913103342056,0.019115992821753025
2024-11-28,2508.169921875,2508.919921875,2522.8798828125,2505.760009765625,0.915957123041153,0.053208302706480026,0.030834556557238102
2024-11-29,2505.360107421875,2513.85009765625,2516.409912109375,2495.090087890625,0.9380118250846863,0.041930146515369415,0.02005802420899272
2024-12-02,2503.02001953125,2548.1298828125,2563.090087890625,2500.860107421875,0.9222031831741333,0.05017024651169777,0.027626547031104565
2024-12-03,2555.419921875,2573.699951171875,2582.679931640625,2554.6298828125,0.920962393283844,0.05191640555858612,0.027121243998408318
2024-12-04,2585.77001953125,2594.3798828125,2601.219970703125,2582.570068359375,0.9347842931747437,0.04603574052453041,0.019179902970790863
2024-12-05,2593.800048828125,2606.080078125,2607.169921875,2592.68994140625,0.9287019769350687,0.04285414206484953,0.028443884725371998
2024-12-06,2603.090087890625,2614.27001953125,2617.659912109375,2600.840087890625,0.9212496876716614,0.048587972298264503,0.030162379145622253
2024-12-09,2631.260009765625,2617.800048828125,2633.570068359375,2613.070068359375,0.9339583317438761,0.043598043421904244,0.022443561504284542
2024-12-10,2612.85009765625,2595.489990234375,2614.070068359375,2595.489990234375,0.9464083512624105,0.03794484461347262,0.01564680226147175
2024-12-11,2589.179931640625,2588.43994140625,2599.409912109375,2584.320068359375,0.9378544092178345,0.04303513094782829,0.019110421650111675
2024-12-12,2594.64990234375,2573.97998046875,2600.159912109375,2569.56005859375,0.9566775361696879,0.034677814692258835,0.008644703465203444
2024-12-13,2570.669921875,2556.340087890625,2580.27001953125,2551.830078125,0.9568257331848145,0.034558817744255066,0.00861542330433925
2024-12-16,2553.239990234375,2544.60009765625,2556.739990234375,2539.110107421875,0.9438483119010925,0.04042523726820946,0.015726433135569096
2024-12-17,2534.77001953125,2533.070068359375,2545.27001953125,2529.570068359375,0.957406759262085,0.03397808348139127,0.008615164707104364
2024-12-18,2536.419921875,2537.6298828125,2549.72998046875,2530.169921875,0.9358005821704865,0.04005725774914026,0.024142147973179817
2024-12-19,2501.575439453125,2481.095703125,2512.054443359375,2474.2724609375,0.9619990229606629,0.029253581538796425,0.00874741654843092
